Latitude,Longitude,Make,Model,AmateurBuilt,PurposeOfFlight,WeatherCondition,EventMonth,InjuryBool,OccurredNearAirport,EventHour
59.9935,-141.84587,DOUGLAS,OTHER,0,OWRK,VMC,10,0,1,14
63.329514,-142.95368,CESSNA,180,0,PERS,VMC,9,0,1,18
61.173441,-149.98675,BOEING,OTHER,0,Unknown,Unknown,9,1,0,18
61.587423,-150.3984,CESSNA,170B,0,PERS,VMC,9,0,0,18
58.672779,-156.6425,CESSNA,182,0,PERS,VMC,9,0,1,13
68.433431,-143.93348,PIPER,PA18,0,PERS,VMC,9,0,0,13
59.63293,-151.50499,PIPER,PA22,0,PERS,VMC,9,1,1,15
67.046112,-160.49555,CESSNA,170,0,PERS,VMC,9,0,0,12
59.645832,-151.47555,PIPER,OTHER,0,PERS,VMC,9,0,1,19
61.33601,-142.68204,PIPER,PA18,0,PERS,VMC,9,0,1,18
65.397333,-147.84605,HELIO,OTHER,0,Unknown,VMC,9,0,0,14
61.600042,-149.23357,CESSNA,182,0,PERS,VMC,9,0,1,12
63.983339,-145.76679,EUROCOPTER,OTHER,0,POSI,VMC,9,0,0,8
61.563888,-156.22778,CESSNA,A185,0,BUS,VMC,8,0,0,12
64.81167,-147.92444,CESSNA,A185,0,,VMC,8,1,1,12
60.124721,-152.94528,EUROCOPTER,AS350,0,Unknown,VMC,8,1,0,6
63.194168,-142.57194,PIPER,PA18,0,PERS,VMC,8,0,1,9
62.366943,-147.48361,PIPER,PA22,0,PERS,VMC,8,0,0,9
68.330558,-158.2411,CESSNA,180,0,Unknown,VMC,8,0,0,18
62.320835,-150.09304,PIPER,OTHER,0,INST,VMC,8,0,1,10
68.140274,-147.944168,OTHER,OTHER,0,PERS,VMC,8,0,0,20
60.579723,-151.24417,CESSNA,180,0,Unknown,VMC,8,0,1,12
61.571945,-149.539443,PIPER,PA18,0,PERS,VMC,8,0,1,14
60.495555,-151.01693,DE HAVILLAND,DHC-2,0,,VMC,7,1,0,7
62.130832,-141.856384,PIPER,PA18,0,PERS,VMC,7,0,0,16
64.8378,-147.7164,PIPER,PA 18,0,PERS,VMC,7,0,0,18
61.057498,-149.72999,CESSNA,180,0,PERS,Unknown,7,0,1,18
59.400001,-153.516662,BELL,206L-1,0,EXLD,VMC,7,0,0,14
65.991028,-144.54469,OTHER,OTHER,0,FIRF,VMC,7,0,0,14
61.300277,-148.5,CESSNA,A185,0,PERS,VMC,7,0,0,17
64.138053,-147.98666,CESSNA,U206,0,PERS,VMC,7,0,1,16
58.735553,-157.02221,PIPER,OTHER,0,,VMC,7,0,1,13
55.766944,-131.41694,ROBINSON,R44,0,Unknown,VMC,7,0,0,9
62.315834,-153.365,STINSON,108,0,PERS,VMC,7,0,1,19
61.186668,-149.96527,CESSNA,180,0,PERS,VMC,7,0,1,10
60.45,-150.93333,PIPER,PA22,0,PERS,VMC,7,0,0,14
61.220001,-152.16,PIPER,PA22,0,PERS,VMC,7,0,0,12
62.553054,-153.38194,STINSON,108,0,PERS,VMC,7,0,0,15
56.310554,-158.53555,BEECH,OTHER,0,Unknown,IMC,6,0,1,14
64.829444,-147.82943,CESSNA,180,0,PERS,VMC,6,0,1,9
61.186668,-149.96527,PIPER,PA 12,0,INST,VMC,6,0,0,8
61.9393,-149.2877,PIPER,PA 12,0,PERS,VMC,6,0,1,12
60.935276,-151.96665,PIPER,PA18,0,PERS,VMC,6,0,0,19
63.906112,-160.25444,OTHER,OTHER,0,FIRF,VMC,5,0,0,15
67.039443,-158.82943,OTHER,OTHER,1,PERS,VMC,5,0,0,11
61.412,-150.597,CESSNA,182,0,PERS,VMC,5,0,0,17
61.581665,-159.54306,OTHER,OTHER,0,PUBS,VMC,5,1,0,15
60.533332,-150.76832,PIPER,PA18,0,PERS,VMC,5,1,1,9
61.192501,-148.66389,CHAMPION,7GCBC,0,PERS,VMC,5,0,0,14
62.189998,-144.87583,CESSNA,120,0,PERS,VMC,5,0,0,18
62.508888,-153.89778,PIPER,PA 18,0,PERS,VMC,5,0,0,8
61.96611,-151.19528,PIPER,PA18,0,PERS,VMC,5,0,1,15
70.735275,-153.73777,CESSNA,A185,0,Unknown,Unknown,5,1,0,21
61.620338,-148.98068,CESSNA,185,0,PERS,VMC,5,0,0,18
61.215831,-149.84194,GRUMMAN,OTHER,0,PERS,VMC,4,0,1,16
61.351943,-149.54888,CESSNA,A185E,0,PERS,VMC,4,1,1,19
59.645557,-151.476394,PIPER,PA18,0,PERS,VMC,4,0,1,23
61.539722,-147.134445,PIPER,OTHER,0,PERS,VMC,4,0,0,11
64.815002,-147.856384,PIPER,OTHER,0,PERS,VMC,3,0,1,17
61.624168,-149.648605,OTHER,OTHER,1,PERS,VMC,3,0,1,10
60.475276,-151.032501,CESSNA,175,0,FLTS,VMC,3,0,1,11
61.534721,-149.8125,CESSNA,172,0,INST,VMC,3,0,1,19
60.539058,-150.78944,CHAMPION,OTHER,0,PERS,VMC,3,1,1,8
61.534721,-149.798889,PIPER,PA18,0,PERS,VMC,2,0,1,16
63.048889,-150.77055,ROBINSON,R44,0,Unknown,VMC,2,1,1,16
64.751663,-161.6011,CESSNA,182,0,PERS,VMC,2,0,0,15
61.410278,-148.086669,CESSNA,172,0,PERS,VMC,2,0,0,12
60.351665,-163.02305,PIPER,OTHER,0,Unknown,IMC,2,1,0,11
61.523887,-166.14472,CESSNA,208,0,Unknown,IMC,2,0,1,15
61.534168,-149.827774,CESSNA,150,0,PERS,VMC,1,0,1,17
64.811668,-147.86972,PIPER,OTHER,0,Unknown,VMC,1,0,1,12
64.666946,-148.13333,CESSNA,170,0,PERS,VMC,12,0,0,20
59.881668,-163.168884,CESSNA,207,0,Unknown,VMC,12,0,1,16
60.504165,-150.151382,PIPER,PA-31-350,0,Unknown,VMC,11,1,0,19
59.11222,-161.58139,PIPER,OTHER,0,POSI,VMC,11,0,0,18
53.898334,-166.54417,OTHER,OTHER,0,Unknown,VMC,10,1,1,16
60.516666,-149.5,PIPER,PA18,0,UNK,VMC,10,0,1,16
61.450279,-148.683334,CESSNA,172,0,PERS,VMC,10,0,0,15
56.93861,-154.182495,DE HAVILLAND,BEAVER DHC 2,0,POSI,VMC,10,0,0,13
60.978889,-151.89222,STINSON,108,0,PERS,VMC,9,1,0,18
61.769165,-151.584442,PIPER,PA18,0,PERS,VMC,9,0,0,8
69.219818,-146.790786,PIPER,PA 18,0,PERS,VMC,9,0,0,15
61.934722,-163.664169,DE HAVILLAND,BEAVER DHC 2,0,Unknown,VMC,9,0,0,13
66.884719,-162.598052,DE HAVILLAND,OTHER,0,OWRK,VMC,9,0,1,13
61.355278,-148.409439,MAULE,OTHER,0,PERS,VMC,9,0,0,9
64.527778,-150.423339,CESSNA,175,0,PERS,Unknown,9,1,0,11
63.95111,-144.671661,PIPER,PA 12,0,PERS,VMC,9,0,0,11
59.129615,-161.569503,CESSNA,172,0,PERS,VMC,9,0,0,19
63.88861,-160.799163,ROBINSON,R44,0,EXLD,VMC,9,0,1,12
61.41611,-149.508331,PIPER,PA18,0,INST,VMC,9,0,1,14
61.310001,-148.580001,PIPER,PA18,0,PERS,VMC,9,0,0,17
60.968887,-149.119445,LAKE,LA-4-200,0,PERS,VMC,9,0,1,12
61.229442,-151.769165,PIPER,PA18,0,PERS,VMC,9,0,0,15
61.673053,-148.546951,PIPER,PA 18,0,PERS,VMC,9,0,0,9
68.090156,-145.59938,PIPER,PA22,0,PERS,VMC,8,1,0,14
62.321388,-150.092773,PIPER,PA-22-150,0,INST,VMC,8,0,1,18
60.941665,-151.961105,PIPER,PA18,0,PERS,VMC,8,0,0,13
